t_max,front,mode,tau_s,n_seeds,dir_err_deg_mean,dir_err_deg_std,dir_err_deg_n,speed_err_pct_mean,speed_err_pct_std,speed_err_pct_n,speed_err_ms_mean,speed_err_ms_std,speed_err_ms_n,speed_est_ms_mean,speed_est_ms_std,speed_est_ms_n,eta_err_30_s_mean,eta_err_30_s_std,eta_err_30_s_n,eta_err_60_s_mean,eta_err_60_s_std,eta_err_60_s_n,eta_err_100_s_mean,eta_err_100_s_std,eta_err_100_s_n,dir_err_deg_absmean,speed_err_pct_absmean,eta_err_100_s_absmean
400.0,straight_S1,jitter,11.0,30,2.0756,1.4654,30,10.3904,7.7174,30,0.1559,0.1158,30,1.6559,0.1158,30,-4.5826,2.7071,30,-7.421,4.6486,30,-11.4048,7.2198,30,2.0756,10.8959,11.8763
400.0,straight_S1,jitter,30.0,30,7.7643,7.1329,30,33.6163,30.0481,30,0.5042,0.4507,30,2.0042,0.4507,30,-5.5846,6.8139,30,-11.4836,10.8921,30,-19.9704,15.9789,30,7.7643,34.7685,22.345
400.0,straight_S1,jitter,78.5,30,67.7092,47.5807,30,71.7168,50.5072,30,1.0758,0.7576,30,2.5758,0.7576,30,-11.3328,9.9736,27,-23.2771,14.8776,27,-37.9793,20.4606,27,67.7092,72.1394,39.4175
400.0,curved_S2a10,uniform,0.0,30,4.7572,3.5354,30,16.3133,8.6284,30,0.2447,0.1294,30,1.7447,0.1294,30,-12.5981,1.283,30,-18.332,2.5227,30,-27.6961,4.0365,30,4.7572,16.3304,27.6961
400.0,curved_S2a10,uniform,2.0,30,4.357,3.4415,30,14.6572,7.4818,30,0.2199,0.1122,30,1.7199,0.1122,30,-10.1898,1.0328,30,-14.7221,2.0167,30,-22.601,3.0781,30,4.357,14.7206,22.601
400.0,curved_S2a10,uniform,5.0,30,4.4586,3.1241,30,11.399,6.4351,30,0.171,0.0965,30,1.671,0.0965,30,-7.718,0.9373,30,-11.1553,1.712,30,-17.7503,2.6803,30,4.4586,11.412,17.7503
400.0,curved_S2a10,uniform,10.0,30,4.3958,3.258,30,8.8845,4.4687,30,0.1333,0.067,30,1.6333,0.067,30,-5.066,0.7725,30,-7.4808,1.3471,30,-12.7691,2.0963,30,4.3958,8.9432,12.7691
400.0,curved_S2a10,uniform,11.0,30,4.396,3.2178,30,8.0935,4.4343,30,0.1214,0.0665,30,1.6214,0.0665,30,-4.8349,0.8761,30,-7.1864,1.5039,30,-12.4055,2.2948,30,4.396,8.1696,12.4055
400.0,curved_S2a10,uniform,20.0,30,4.3354,3.2747,30,7.2944,3.871,30,0.1094,0.0581,30,1.6094,0.0581,30,-2.7676,0.7205,30,-4.9308,1.4157,30,-9.8834,2.3014,30,4.3354,7.3182,9.8834
400.0,curved_S2a10,uniform,30.0,30,4.3202,3.2743,30,7.7796,3.7481,30,0.1167,0.0562,30,1.6167,0.0562,30,-0.9299,0.708,30,-3.0304,1.2928,30,-8.2626,2.1024,30,4.3202,7.7796,8.2626
400.0,curved_S2a10,uniform,50.0,30,4.2769,3.242,30,8.0581,3.7374,30,0.1209,0.0561,30,1.6209,0.0561,30,2.5845,0.9733,30,0.3375,1.5377,30,-4.9779,2.0592,30,4.2769,8.0581,4.9779
400.0,curved_S2a10,uniform,78.5,30,4.274,3.2281,30,8.4935,3.5997,30,0.1274,0.054,30,1.6274,0.054,30,7.6673,1.1163,30,5.1177,1.5927,30,-0.0009,2.1594,30,4.274,8.4935,1.909
400.0,curved_S2a10,uniform,100.0,30,4.2762,3.2665,30,8.3842,3.2965,30,0.1258,0.0494,30,1.6258,0.0494,30,11.7147,1.0765,30,9.3117,1.5725,30,4.4615,2.3747,30,4.2762,8.3842,4.4688
400.0,curved_S2a10,jitter,11.0,30,4.7733,3.9402,30,12.2343,11.0853,30,0.1835,0.1663,30,1.6835,0.1663,30,-5.6773,2.532,30,-8.7564,4.5529,30,-14.7749,7.4423,30,4.7733,13.1555,14.7749
400.0,curved_S2a10,jitter,30.0,30,10.371,9.9573,30,31.5346,27.2226,30,0.473,0.4083,30,1.973,0.4083,30,-6.2352,5.3199,30,-12.9367,9.3373,30,-23.5057,14.0049,30,10.371,32.8143,24.0068
400.0,curved_S2a10,jitter,78.5,30,66.7211,51.1506,30,76.5117,46.8618,30,1.1477,0.7029,30,2.6477,0.7029,30,-10.1177,9.1674,30,-19.9287,12.6949,30,-35.4591,17.4944,30,66.7211,76.5117,35.9154
400.0,curved_S2a20,uniform,0.0,30,10.5806,8.7327,30,29.8012,17.2078,30,0.447,0.2581,30,1.947,0.2581,30,-15.0624,2.4357,30,-22.2319,4.9906,30,-30.437,8.4694,30,10.5806,29.9237,30.437
400.0,curved_S2a20,uniform,2.0,30,13.2867,19.1625,30,24.0918,14.2497,30,0.3614,0.2137,30,1.8614,0.2137,30,-12.2786,2.2964,30,-17.4245,4.7277,30,-23.4079,7.6683,30,13.2867,24.1171,23.4079
400.0,curved_S2a20,uniform,5.0,30,26.3933,37.4031,30,19.7833,13.6616,30,0.2967,0.2049,30,1.7967,0.2049,30,-10.1719,2.205,30,-14.6485,4.5142,30,-19.6711,6.6252,30,26.3933,20.188,19.6711
400.0,curved_S2a20,uniform,10.0,30,16.7673,24.6887,30,15.2659,10.0252,30,0.229,0.1504,30,1.729,0.1504,30,-7.7992,2.3959,30,-11.3702,4.7966,30,-15.1384,6.0221,30,16.7673,15.4904,15.1384
400.0,curved_S2a20,uniform,11.0,30,12.5708,16.3492,30,15.6399,10.6382,30,0.2346,0.1596,30,1.7346,0.1596,30,-7.312,2.2974,30,-10.7239,4.6235,30,-14.4207,5.7265,30,12.5708,15.8272,14.4207
400.0,curved_S2a20,uniform,20.0,30,8.9037,6.9828,30,11.5222,7.7599,30,0.1728,0.1164,30,1.6728,0.1164,30,-4.4481,2.1768,30,-6.534,4.329,30,-8.3451,5.3429,30,8.9037,11.8262,8.4487
400.0,curved_S2a20,uniform,30.0,30,8.724,6.5302,30,8.9067,6.8938,30,0.1336,0.1034,30,1.6336,0.1034,30,-1.7643,2.13,30,-3.2751,4.668,30,-4.1564,6.398,30,8.724,9.7597,5.6661
400.0,curved_S2a20,uniform,50.0,30,7.9641,6.461,30,5.9523,5.3619,30,0.0893,0.0804,30,1.5893,0.0804,30,2.4839,2.1512,30,0.8226,4.3224,30,0.0624,6.5563,30,7.9641,7.1301,5.363
