label,group,kappa_h_med,kappa_h_p95,gap_s,dtw_scaled,window_mode,dt_window,seed,dir_err,estimable,grade,n_local,per_node_frac,n_obs_mean,sigma_t_mean,s2_med
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,5,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,6,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,7,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,8,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,9,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,10,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,11,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,12,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,13,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,14,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d30,ellipse_head,0.4764,1.264,5.41,16.23,scaled,16.23,15,17.9376328208108,1,OK,11,73.3,5.73,1.0265,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,1,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,2,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,3,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,4,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,5,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,6,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,7,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,8,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,9,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,10,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,11,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,12,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,13,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,14,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,base,8.0,15,5.429108488774088,1,DEGRADED,13,86.7,4.85,1.1297,0.4472
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,1,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,2,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,3,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,4,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,5,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,6,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,7,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,8,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,9,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,10,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,11,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,12,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,13,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,14,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d60,ellipse_head,0.4862,0.7652,5.1,15.29,scaled,15.29,15,6.097738789528597,1,DEGRADED,13,86.7,5.92,1.0005,0.5
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,1,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,2,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,3,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,4,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,5,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,6,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,7,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,8,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,9,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,10,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,11,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,12,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,13,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,14,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,base,8.0,15,2.6859979688611486,1,OK,13,86.7,5.0,0.7874,0.4472
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,1,2.9932249970850657,1,OK,13,86.7,5.92,0.671,0.5
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,2,2.9932249970850657,1,OK,13,86.7,5.92,0.671,0.5
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,3,2.9932249970850657,1,OK,13,86.7,5.92,0.671,0.5
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,4,2.9932249970850657,1,OK,13,86.7,5.92,0.671,0.5
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,5,2.9932249970850657,1,OK,13,86.7,5.92,0.671,0.5
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,6,2.9932249970850657,1,OK,13,86.7,5.92,0.671,0.5
타원[head] W20 d120,ellipse_head,0.3494,0.4308,4.76,14.27,scaled,14.27,7,2.9932249970850657,1,OK,13,86.7,5.92,0.671,0.5
