scenario,tau_s,var_pct,warm_mult,tau_used_mult,dist_m,n,dir_deg,E3x_cov,E3x_be,E3x_w,E3x2_cov,E3x2_be,E3x2_w
S6_n9,0.0,0.0,1.0,0.0,100.0,210,4.324,100.0,0.0,80.0,100.0,0.0,83.2
S6_n9,5.0,0.0,1.0,0.0,30.0,180,1.171,100.0,0.0,27.4,100.0,0.0,30.5
S6_n9,5.0,0.0,1.0,0.0,60.0,180,1.171,100.0,0.0,47.5,100.0,0.0,50.7
S6_n9,5.0,0.0,1.0,0.0,100.0,180,1.171,100.0,0.0,74.4,100.0,0.0,77.6
S6_n9,5.0,0.0,1.0,0.5,30.0,180,3.161,100.0,0.0,28.6,100.0,0.0,31.8
S6_n9,5.0,0.0,1.0,0.5,60.0,180,3.161,100.0,0.0,49.9,100.0,0.0,53.1
S6_n9,5.0,0.0,1.0,0.5,100.0,180,3.161,100.0,0.0,78.3,100.0,0.0,81.5
S6_n9,5.0,0.0,1.0,0.8,30.0,180,5.069,100.0,0.0,29.4,100.0,0.0,32.6
S6_n9,5.0,0.0,1.0,0.8,60.0,180,5.069,100.0,0.0,51.6,100.0,0.0,54.8
S6_n9,5.0,0.0,1.0,0.8,100.0,180,5.069,100.0,0.0,81.2,100.0,0.0,84.3
S6_n9,5.0,0.0,1.0,1.0,30.0,180,4.507,100.0,0.0,29.3,100.0,0.0,32.5
S6_n9,5.0,0.0,1.0,1.0,60.0,180,4.507,100.0,0.0,51.4,100.0,0.0,54.5
S6_n9,5.0,0.0,1.0,1.0,100.0,180,4.507,100.0,0.0,80.8,100.0,0.0,84.0
S6_n9,5.0,0.0,1.0,1.5,30.0,90,0.924,100.0,0.0,32.1,100.0,0.0,35.2
S6_n9,5.0,0.0,1.0,1.5,60.0,90,0.924,100.0,0.0,56.8,100.0,0.0,60.0
S6_n9,5.0,0.0,1.0,1.5,100.0,90,0.924,100.0,0.0,89.8,100.0,0.0,93.0
S6_n9,10.0,0.0,1.0,0.0,30.0,210,0.866,100.0,0.0,26.7,100.0,0.0,29.9
S6_n9,10.0,0.0,1.0,0.0,60.0,210,0.866,100.0,0.0,46.2,100.0,0.0,49.4
S6_n9,10.0,0.0,1.0,0.0,100.0,210,0.866,100.0,0.0,72.2,100.0,0.0,75.4
S6_n9,10.0,0.0,1.0,0.5,30.0,210,2.566,100.0,0.0,28.4,100.0,0.0,31.6
S6_n9,10.0,0.0,1.0,0.5,60.0,210,2.566,100.0,0.0,49.4,100.0,0.0,52.5
S6_n9,10.0,0.0,1.0,0.5,100.0,210,2.566,100.0,0.0,77.3,100.0,0.0,80.5
S6_n9,10.0,0.0,1.0,0.8,30.0,210,5.142,100.0,0.0,29.6,100.0,0.0,32.8
S6_n9,10.0,0.0,1.0,0.8,60.0,210,5.142,100.0,0.0,51.6,100.0,0.0,54.8
S6_n9,10.0,0.0,1.0,0.8,100.0,210,5.142,100.0,0.0,81.0,100.0,0.0,84.1
S6_n9,10.0,0.0,1.0,1.0,30.0,210,4.611,100.0,0.0,29.4,100.0,0.0,32.5
S6_n9,10.0,0.0,1.0,1.0,60.0,210,4.611,100.0,0.0,51.2,100.0,0.0,54.3
S6_n9,10.0,0.0,1.0,1.0,100.0,210,4.611,100.0,0.0,80.3,100.0,0.0,83.4
S6_n9,10.0,0.0,1.0,1.5,30.0,90,1.555,100.0,0.0,32.6,100.0,0.0,35.8
