model,geom,wind_kmh,ignition_d_m,tau_s,seed,dir_err_nominal,dir_err_local,speed_est,speed_err_nominal_pct,speed_err_local_pct,speed_true_local,estimable,n_nonsink,n_died,t_max
ellipse,head,10.0,60.0,11.0,5,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,6,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,7,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,8,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,9,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,10,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,11,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,12,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,13,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,14,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,15,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,16,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,17,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,18,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,19,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
ellipse,head,10.0,60.0,11.0,20,6.965768486826986,0.5197698967644669,1.447223299537922,-3.51844669747187,-1.0274900935333178,1.4622477503153257,1,15,15,98.37018051561017
