t_max,front,mode,tau_s,seed,med,v_true_bar,speed_err_nominal_pct,speed_err_realized_pct
120.0,straight_S1,uniform,11.0,4,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,5,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,6,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,7,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,8,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,9,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,10,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,11,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,12,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,13,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,14,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,15,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,16,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,17,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,18,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,19,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,20,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,21,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,22,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,23,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,24,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
120.0,straight_S1,uniform,11.0,25,1.5182917289142566,1.5,1.219448594283771,1.219448594283771
